Name,District,Type,Description
TEXAS SCHOOL OF THE ARTS,220814,I,CHARTER SCHOOL DISTRICTS
TEXAS SERENITY ACADEMY,170801,I,CHARTER SCHOOL DISTRICTS
TEXHOMA ISD,211901,H,RURAL
TEXLINE ISD,056902,H,RURAL
THE EAST AUSTIN COLLEGE PREP ACADE,227824,I,CHARTER SCHOOL DISTRICTS
THE EXCEL CENTER (FOR ADULTS),227827,I,CHARTER SCHOOL DISTRICTS
THE LAWSON ACADEMY,101864,I,CHARTER SCHOOL DISTRICTS
THE PRO-VISION ACADEMY,101868,I,CHARTER SCHOOL DISTRICTS
THE RHODES SCHOOL,101861,I,CHARTER SCHOOL DISTRICTS
THE VARNETT PUBLIC SCHOOL,101814,I,CHARTER SCHOOL DISTRICTS
THORNDALE ISD,166905,H,RURAL
THRALL ISD,246912,H,RURAL
THREE RIVERS ISD,149902,H,RURAL
THREE WAY ISD,072901,H,RURAL
THROCKMORTON ISD,224901,H,RURAL
TIDEHAVEN ISD,158902,H,RURAL
TIMPSON ISD,210905,H,RURAL
TIOGA ISD,091907,F,NON-METROPOLITAN FAST GROWING
TOLAR ISD,111903,E,INDEPENDENT TOWN
TOM BEAN ISD,091918,H,RURAL
TOMBALL ISD,101921,B,MAJOR SUBURBAN
TORNILLO ISD,071908,G,NON-METROPOLITAN STABLE
TRANSFORMATIVE CHARTER ACADEMY,014802,I,CHARTER SCHOOL DISTRICTS
TREETOPS SCHOOL INTERNATIONAL,220801,I,CHARTER SCHOOL DISTRICTS
TRENT ISD,221905,H,RURAL
TRENTON ISD,074912,H,RURAL
TRINIDAD ISD,107907,H,RURAL
TRINITY BASIN PREPARATORY,057813,I,CHARTER SCHOOL DISTRICTS
TRINITY CHARTER SCHOOL,046802,I,CHARTER SCHOOL DISTRICTS
TRINITY ISD,228903,G,NON-METROPOLITAN STABLE
TROUP ISD,212904,G,NON-METROPOLITAN STABLE
TROY ISD,014910,G,NON-METROPOLITAN STABLE
TULIA ISD,219903,G,NON-METROPOLITAN STABLE
TULOSO-MIDWAY ISD,178912,D,OTHER CENTRAL CITY SUBURBAN
TURKEY-QUITAQUE ISD,096905,H,RURAL
TWO DIMENSIONS PREPARATORY ACADEMY,101840,I,CHARTER SCHOOL DISTRICTS
TYLER ISD,212905,C,OTHER CENTRAL CITY
UME PREPARATORY ACADEMY,057845,I,CHARTER SCHOOL DISTRICTS
UNION GROVE ISD,230908,H,RURAL
UNION HILL ISD,230904,H,RURAL
UNITED ISD,240903,C,OTHER CENTRAL CITY
UNIVERSAL ACADEMY,057808,I,CHARTER SCHOOL DISTRICTS
UNIVERSITY OF HOUSTON CHARTER SCHO,101807,I,CHARTER SCHOOL DISTRICTS
UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,I,CHARTER SCHOOL DISTRICTS
UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,I,CHARTER SCHOOL DISTRICTS
UPLIFT EDUCATION - HAMPTON PREPARA,057843,I,CHARTER SCHOOL DISTRICTS
UPLIFT EDUCATION - NORTH HILLS PRE,057803,I,CHARTER SCHOOL DISTRICTS
UPLIFT EDUCATION - PEAK PREPARATOR,057838,I,CHARTER SCHOOL DISTRICTS
UPLIFT EDUCATION - WILLIAMS PREPAR,057842,I,CHARTER SCHOOL DISTRICTS
UPLIFT EDUCATION-SUMMIT INTERNATIO,220816,I,CHARTER SCHOOL DISTRICTS
UT TYLER INNOVATION ACADEMY,212804,I,CHARTER SCHOOL DISTRICTS
UTOPIA ISD,232904,H,RURAL
UTPB STEM ACADEMY,068803,I,CHARTER SCHOOL DISTRICTS
UVALDE CISD,232903,E,INDEPENDENT TOWN
VALENTINE ISD,122902,H,RURAL
VALLEY MILLS ISD,018904,H,RURAL
VALLEY VIEW ISD,049903,H,RURAL
VALLEY VIEW ISD,108916,D,OTHER CENTRAL CITY SUBURBAN
VAN ALSTYNE ISD,091908,D,OTHER CENTRAL CITY SUBURBAN
VAN ISD,234906,D,OTHER CENTRAL CITY SUBURBAN
VAN VLECK ISD,158906,G,NON-METROPOLITAN STABLE
VANGUARD ACADEMY,108808,I,CHARTER SCHOOL DISTRICTS
VEGA ISD,180902,F,NON-METROPOLITAN FAST GROWING
VENUS ISD,126908,D,OTHER CENTRAL CITY SUBURBAN
VERIBEST ISD,226908,H,RURAL
VERNON ISD,244903,G,NON-METROPOLITAN STABLE
VICTORIA ISD,235902,E,INDEPENDENT TOWN
VICTORY PREP,101865,I,CHARTER SCHOOL DISTRICTS
VIDOR ISD,181907,D,OTHER CENTRAL CITY SUBURBAN
VILLAGE TECH SCHOOLS,057847,I,CHARTER SCHOOL DISTRICTS
VISTA DEL FUTURO CHARTER SCHOOL,071809,I,CHARTER SCHOOL DISTRICTS
VYSEHRAD ISD,143904,H,RURAL
WACO CHARTER SCHOOL,161801,I,CHARTER SCHOOL DISTRICTS
WACO ISD,161914,C,OTHER CENTRAL CITY
WAELDER ISD,089905,H,RURAL
WALCOTT ISD,059902,H,RURAL
WALL ISD,226906,D,OTHER CENTRAL CITY SUBURBAN
WALLER ISD,237904,E,INDEPENDENT TOWN
WALNUT BEND ISD,049908,H,RURAL
WALNUT SPRINGS ISD,018905,H,RURAL
WARREN ISD,229904,G,NON-METROPOLITAN STABLE
