County,District,Name,Code,Institution,Students
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,TEXAS STATE UNIVERSITY (003615) ,10
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,TEXAS A&M UNIVERSITY (003632) ,5
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,U. OF TEXAS AT AUSTIN (003658) ,5
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,Other Pub/Ind 4-yr Institution (21) ,36
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,Other Pub/Ind 2-yr Institution (4) ,6
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,Not trackable ,15
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,Not found ,133
BASTROP ,BASTROP ISD ,CEDAR CREEK H S ,011901002,Total high school graduates ,239
,,,,,
BASTROP ,BASTROP ISD ,GENESIS H S ,011901022,Other Pub/Ind 2-yr Institution (1) ,3
BASTROP ,BASTROP ISD ,GENESIS H S ,011901022,Not trackable ,10
BASTROP ,BASTROP ISD ,GENESIS H S ,011901022,Not found ,80
BASTROP ,BASTROP ISD ,GENESIS H S ,011901022,Total high school graduates ,93
,,,,,
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,AUSTIN COMMUNITY COLLEGE (012015) ,45
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,TEXAS STATE UNIVERSITY (003615) ,12
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,TEXAS A&M UNIVERSITY (003632) ,9
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,BLINN COLLEGE (003549) ,5
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,HOWARD PAYNE UNIVERSITY (003575) ,5
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,ST. EDWARD'S UNIVERSITY (003621) ,5
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,U. OF TEXAS AT AUSTIN (003658) ,5
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,Other Pub/Ind 4-yr Institution (18) ,35
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,Other Pub/Ind 2-yr Institution (6) ,10
BASTROP ,ELGIN ISD ,ELGIN H S ,011902001,Not trackable ,13
