YEAR,CAMPUS ID,HIGH SCHOOL STUDENTS,NOT FOUND,NOT TRACKABLE
2015,79901009.0,488,146,12
2015,,0,0,0
2015,79901001.0,345,147,16
2015,,0,0,0
2015,79906001.0,177,50,10
2015,,0,0,0
2015,79910001.0,229,104,10
2015,,0,0,0
2015,80901001.0,102,40,1
2015,,0,0,0
2015,81902002.0,106,43,1
2015,,0,0,0
2015,81904001.0,70,24,2
2015,,0,0,0
2015,82902001.0,60,39,0
2015,,0,0,0
2015,82903001.0,132,85,2
2015,,0,0,0
2015,83901001.0,26,18,1
2015,,0,0,0
2015,83903001.0,139,65,6
2015,,0,0,0
2015,83903002.0,35,33,2
2015,,0,0,0
2015,84910003.0,571,174,9
2015,,0,0,0
2015,84910001.0,531,231,15
2015,,0,0,0
2015,84910011.0,559,198,8
2015,,0,0,0
2015,84910010.0,92,14,4
2015,,0,0,0
2015,84910002.0,630,205,16
2015,,0,0,0
2015,84910009.0,515,183,7
2015,,0,0,0
2015,84910004.0,83,62,0
2015,,0,0,0
2015,84901009.0,44,35,3
2015,,0,0,0
2015,84901001.0,524,231,23
2015,,0,0,0
2015,84911001.0,532,164,12
2015,,0,0,0
2015,84902001.0,428,183,22
2015,,0,0,0
2015,84908001.0,51,26,3
2015,,0,0,0
2015,84904001.0,127,66,3
2015,,0,0,0
2015,84909001.0,322,156,7
2015,,0,0,0
2015,84906001.0,425,240,13
2015,,0,0,0
2015,85902001.0,44,23,0
2015,,0,0,0
2015,86901001.0,219,101,9
2015,,0,0,0
2015,86902001.0,57,17,1
2015,,0,0,0
2015,88902001.0,98,36,2
2015,,0,0,0
