YEAR,CAMPUS ID,CAMPUS NAME,DISTRICT ID,SAT PARTICIPATION RATE,SAT MATH,SAT ERW
2015,57912004,Nimitz H S,57912,85.3,431.0,407.0
2015,57912005,Barbara Cardwell Career Preparator,57912,13.5,382.0,339.0
2015,57912006,Jack E Singley Academy,57912,100.0,441.0,417.0
2015,57913001,Lancaster H S,57913,53.0,399.0,394.0
2015,57914001,Mesquite H S,57914,51.1,453.0,439.0
2015,57914002,North Mesquite H S,57914,51.9,445.0,428.0
2015,57914003,West Mesquite H S,57914,45.0,441.0,418.0
2015,57914004,Poteet H S,57914,63.9,463.0,473.0
2015,57914005,Horn H S,57914,62.2,467.0,462.0
2015,57914656,Mesquite Academy,57914,2.8,446.0,400.0
2015,57916002,Lake Highlands H S,57916,51.3,522.0,501.0
2015,57916003,Richardson H S,57916,58.6,531.0,505.0
2015,57916004,Pearce H S,57916,61.5,575.0,541.0
2015,57916005,Berkner H S,57916,51.3,508.0,467.0
2015,57919001,Sunnyvale H S,57919,69.1,547.0,517.0
2015,57922001,Coppell H S,57922,74.1,600.0,568.0
2015,57922003,New Tech H S At Coppell,57922,79.2,530.0,532.0
2015,58906001,Lamesa H S,58906,7.8,424.0,411.0
2015,59901001,Hereford H S,59901,2.6,548.0,547.0
2015,60902001,Cooper H S,60902,14.3,457.0,462.0
2015,61501001,Texas Academy Of Mathematics & Sci,61501,,743.0,691.0
2015,61802003,The Education Center In Lewisville,61802,,483.0,550.0
2015,61802004,The Education Center At Denton,61802,,,
2015,61901002,Ryan H S,61901,45.4,502.0,501.0
2015,61901003,Denton H S,61901,55.7,494.0,493.0
2015,61901007,Guyer H S,61901,57.2,510.0,500.0
2015,61901039,Fred Moore H S,61901,4.8,360.0,440.0
2015,61902001,Lewisville H S,61902,48.2,484.0,472.0
2015,61902002,Marcus H S,61902,81.2,577.0,551.0
2015,61902004,The Colony H S,61902,60.8,508.0,494.0
2015,61902008,Hebron H S,61902,69.9,563.0,538.0
2015,61902010,Flower Mound H S,61902,82.5,598.0,568.0
2015,61902014,Lewisville H S Ben Harmon Campus,61902,,496.0,471.0
2015,61903001,Pilot Point H S,61903,38.1,483.0,497.0
